,Datetime,Class A,Class B
499,1375129800,3346,641
500,1375216200,4621,1196
501,1375302600,5622,1027
502,1375389000,3979,836
503,1375475400,4380,1064
504,1375561800,2794,753
505,1375659000,1517,452
506,1375772400,2134,606
507,1375858800,4071,755
508,1375907400,7661,686
509,1375993800,8201,502
510,1376080200,4731,663
511,1376325000,668,165
512,1376339400,5251,1164
513,1376425800,5727,1057
514,1376512200,7824,1020
515,1376598600,6231,814
516,1376685000,5447,1107
517,1376771400,5570,1119
518,1376857800,5664,1116
519,1376944200,5537,1075
520,1377030600,5463,1031
521,1377117000,8417,929
522,1377203400,6615,691
523,1377289800,5779,975
524,1377376200,5881,1063
525,1377462600,5843,1087
526,1377549000,6111,1110
527,1377635400,6504,1085
528,1377721800,8591,990
529,1377808200,6818,794
530,1377894600,5937,1223
531,1377981000,7111,1158
532,1378067400,6403,886
533,1378153800,5964,1069
534,1378240200,6361,1142
535,1378326600,8410,989
536,1378413000,6946,779
537,1378499400,5994,1060
538,1378585800,6216,1145
539,1378672200,6119,1173
540,1378758600,6199,1168
541,1378845000,6551,1102
542,1378931400,8940,957
543,1379017800,7308,841
544,1379104200,6513,1169
545,1379190600,6731,1146
546,1379277000,6346,1092
547,1379363400,6152,1060
548,1379449800,6200,1122
549,1379536200,8348,945
550,1379622600,7159,778
551,1379709000,6233,1112
552,1379795400,5767,1039
553,1379881800,5321,1106
554,1379968200,5370,1077
555,1380054600,5698,1191
556,1380141000,7595,994
557,1380227400,5888,726
558,1380313800,5255,1141
559,1380400200,5218,1101
560,1380486600,5430,1079
561,1380573000,5321,1070
562,1380659400,5931,1065
563,1380745800,7686,1001
564,1380832200,6048,801
565,1380918600,5202,1140
566,1381005000,5317,1193
567,1381091400,5333,1143
568,1381177800,4960,1074
569,1381264200,5859,1124
570,1381350600,7809,1043
571,1381437000,5871,754
572,1381523400,5449,1205
573,1381609800,5861,1235
574,1381696200,6159,1156
575,1381782600,7008,1004
576,1381869000,6335,723
577,1381955400,6879,883
578,1382041800,6037,862
579,1382128200,5390,1196
580,1382214600,5245,1132
581,1382301000,5308,1151
582,1382387400,1105,293
583,1382473800,6860,981
584,1382560200,7243,720
585,1382646600,5673,794
586,1382733000,4985,997
587,1382819400,5442,1182
588,1382905800,5291,1139
589,1382992200,5422,1113
590,1383078600,5642,1056
591,1383165000,7172,905
592,1383251400,5939,793
593,1383337800,4911,1065
594,1383424200,5374,1118
595,1383510600,5389,1153
596,1383597000,5194,1130
597,1383683400,4577,834
598,1383769800,4113,495
599,1383856200,2532,299
600,1383942600,2602,379
601,1384029000,2644,333
602,1384115400,2091,120
603,1384201800,4504,58
604,1384288200,3341,8
605,1384374600,1619,10
606,1384461000,1662,92
607,1384547400,2608,349
608,1384633800,2574,407
609,1384720200,2209,257
610,1384806600,2200,268
611,1384893000,3010,481
612,1384979400,3482,416
613,1385065800,2169,297
614,1385152200,3374,582
615,1385238600,3285,635
616,1385325000,2791,545
617,1385411400,2667,465
618,1385497800,2648,312
619,1385584200,4033,355
620,1385670600,2169,173
621,1385757000,1890,200
622,1385843400,2246,327
623,1385929800,1919,186
624,1386016200,2069,191
625,1386102600,1971,156
626,1386189000,2278,123
627,1386275400,1508,68
628,1386361800,1735,176
629,1386448200,1318,111
630,1386534600,1511,138
631,1386621000,1732,147
632,1386707400,1955,133
633,1386793800,2512,128
634,1386880200,1547,69
635,1386966600,1591,146
636,1387053000,1835,185
637,1387139400,1667,141
638,1387225800,1773,196
639,1387312200,1937,171
640,1387398600,2745,217
641,1387485000,3015,460
642,1387571400,3506,573
643,1387657800,3404,415
644,1387744200,2109,253
645,1387830600,2676,361
646,1387917000,3105,464
647,1388003400,2997,354
648,1388089800,2466,292
649,1388176200,2038,265
650,1388262600,2587,267
651,1388349000,3652,153
652,1388435400,2115,57
653,1388521800,1901,138
654,1388608200,1559,75
655,1388694600,2253,506
656,1388781000,5171,1186
657,1388867400,5218,1243
658,1388953800,3951,870
659,1389040200,2988,880
660,1389126600,4578,1069
661,1389213000,5639,1080
662,1389299400,4245,808
663,1389385800,4312,1019
664,1389472200,3657,949
665,1389558600,4648,1217
666,1389645000,4758,1201
667,1389731400,5446,1159
668,1389817800,6405,1024
669,1389904200,4337,792
670,1389990600,3718,695
671,1390077000,3887,711
672,1390163400,5069,1209
673,1390249800,5061,1200
674,1390336200,5398,1161
675,1390422600,6530,1092
676,1390509000,5169,844
677,1390595400,5186,1221
678,1390681800,5117,1271
679,1390768200,5291,1180
680,1390854600,5458,1291
681,1390941000,5468,1157
682,1391027400,6775,1124
683,1391113800,5149,861
684,1391200200,5188,1150
685,1391286600,4084,1060
686,1391373000,4004,815
687,1391459400,2694,661
688,1391545800,3998,837
689,1391632200,5548,957
690,1391718600,4582,910
691,1391805000,4943,1108
692,1391891400,5050,1214
693,1391977800,6304,1162
694,1392064200,4734,838
695,1392150600,5239,1121
696,1392237000,6521,974
697,1392323400,5516,814
698,1392409800,5257,1210
699,1392496200,5273,1194
700,1392582600,5123,1134
701,1392669000,5228,1296
702,1392755400,5649,1205
703,1392841800,6852,1045
704,1392928200,5348,1007
705,1393014600,5235,1301
706,1393101000,5395,1414
707,1393187400,5419,1323
708,1393273800,5436,1410
709,1393360200,3647,832
710,1393446600,7281,1388
711,1393533000,5509,1055
712,1393619400,5389,1428
713,1393705800,5449,1425
714,1393792200,5236,1387
715,1393878600,5298,1385
716,1393965000,5973,1400
717,1394051400,7285,1342
718,1394137800,5869,1174
719,1394224200,5498,1456
720,1394310600,5589,1433
721,1394397000,5533,1296
722,1394483400,5555,1429
723,1394569800,4686,1172
724,1394656200,7527,1189
725,1394742600,5621,1077
726,1394829000,5531,1199
727,1394915400,5652,911
728,1395001800,6762,896
729,1395088200,7721,661
730,1395174600,9105,439
731,1395261000,8036,219
732,1395347400,10360,174
733,1395433800,8405,209
734,1395520200,6891,207
735,1395606600,7547,245
736,1395693000,7665,480
737,1395779400,7996,682
738,1395865800,9444,711
739,1395952200,8431,576
740,1396038600,7724,682
741,1396125000,6473,465
742,1396237500,7415,468
743,1396297800,9483,262
744,1396384200,8626,163
745,1396470600,6445,367
746,1396557000,5917,732
747,1396643400,5385,1143
748,1396729800,2915,538
749,1396841400,5144,1100
750,1396902600,5505,1256
751,1396989000,5541,1181
752,1397075400,7077,1229
753,1397161800,5700,981
754,1397248200,5466,1224
755,1397334600,2985,640
756,1397485800,1247,374
757,1397507400,2232,452
758,1397881800,4324,1227
759,1397939400,5374,1432
760,1398025800,5328,1475
761,1398112200,5188,1464
762,1398198600,5364,1455
763,1398285000,7242,1248
764,1398371400,5673,961
765,1398457800,4804,1278
766,1398544200,5220,1328
767,1398630600,5329,1468
768,1398717000,5414,1504
769,1398803400,5744,1407
770,1398889800,7784,1191
771,1398976200,5980,919
772,1399062600,3018,759
773,1399158000,5026,1304
774,1399235400,5292,1504
775,1399321800,5439,1457
776,1399408200,5817,1446
777,1399494600,7871,1257
778,1399581000,5757,935
779,1399667400,5399,1306
780,1399753800,5269,1339
781,1399840200,6355,1286
782,1399926600,5847,1089
783,1400013000,5765,1220
784,1400099400,7337,1298
785,1400185800,5826,942
786,1400272200,5348,1354
787,1400358600,5270,1331
788,1400445000,5272,1288
789,1400531400,5179,1414
790,1400617800,5547,1259
791,1400704200,7582,1239
792,1400790600,5667,1022
793,1400877000,5175,1278
794,1400963400,5273,1447
795,1401049800,6214,1319
796,1401136200,4820,995
797,1402385400,3248,804
798,1402432200,6248,1094
799,1402518600,5542,690
800,1402605000,5473,897
801,1402691400,4978,964
802,1402777800,4521,930
803,1402864200,5542,1041
804,1402950600,4179,764
805,1403037000,4937,858
806,1403123400,8275,1003
807,1403209800,5564,583
808,1403296200,5351,923
809,1403382600,5789,1057
810,1403469000,5336,967
811,1403555400,4430,841
812,1403641800,5283,815
813,1403728200,7888,897
